Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Aggregate rating,Rating color,Rating text
40,0,0,0,0,4.6,0,1
40,0,0,0,0,4.9,0,1
25,0,0,0,0,4.5,0,1
10,0,0,0,0,3.9,5,2
25,0,0,0,0,3.9,5,2
40,0,0,0,0,3.8,5,2
25,0,0,0,0,3.5,5,2
40,0,0,0,0,4.3,1,5
25,0,0,0,0,4.1,1,5
25,0,0,0,0,4.4,1,5
10,0,0,0,0,4.0,1,5
25,0,0,0,0,4.0,1,5
40,0,0,0,0,4.2,1,5
40,0,0,0,0,4.0,1,5
25,0,0,0,0,4.0,1,5
25,0,0,0,0,3.9,5,2
10,0,0,0,0,4.1,1,5
25,0,0,0,0,4.0,1,5
35,0,0,0,0,4.3,1,5
10,0,0,0,0,4.2,1,5
20,0,0,0,0,3.2,2,0
20,0,0,0,0,4.6,0,1
25,0,0,0,0,4.5,0,1
25,0,0,0,0,4.6,0,1
25,0,0,0,0,4.5,0,1
70,0,0,0,0,3.9,5,2
10,0,0,0,0,4.3,1,5
70,0,0,0,0,4.1,1,5
10,0,0,0,0,4.2,1,5
25,0,0,0,0,4.3,1,5
10,0,0,0,0,4.4,1,5
25,0,0,0,0,4.1,1,5
25,0,0,0,0,4.4,1,5
10,0,0,0,0,4.3,1,5
10,0,0,0,0,4.4,1,5
25,0,0,0,0,4.4,1,5
40,0,0,0,0,4.0,1,5
25,0,0,0,0,4.1,1,5
10,0,0,0,0,4.3,1,5
40,0,0,0,0,4.0,1,5
25,0,0,0,0,4.0,1,5
40,0,0,0,0,4.4,1,5
40,0,0,0,0,3.7,5,2
40,0,0,0,0,4.1,1,5
10,0,0,0,0,4.1,1,5
40,0,0,0,0,4.1,1,5
25,0,0,0,0,4.4,1,5
25,0,0,0,0,4.2,1,5
10,0,0,0,0,4.2,1,5
10,0,0,0,0,4.2,1,5
25,0,0,0,0,3.8,5,2
25,0,0,0,0,4.1,1,5
10,0,0,0,0,4.9,0,1
10,0,0,0,0,4.5,0,1
25,0,0,0,0,3.6,5,2
40,0,0,0,0,3.8,5,2
25,0,0,0,0,4.3,1,5
40,0,0,0,0,4.3,1,5
25,0,0,0,0,4.1,1,5
40,0,0,0,0,4.0,1,5
25,0,0,0,0,4.2,1,5
25,0,0,0,0,4.7,0,1
25,0,0,0,0,3.7,5,2
10,0,0,0,0,4.3,1,5
25,0,0,0,0,3.1,2,0
10,0,0,0,0,3.3,2,0
25,0,0,0,0,4.6,0,1
25,0,0,0,0,4.5,0,1
25,0,0,0,0,3.8,5,2
25,0,0,0,0,3.9,5,2
40,0,0,0,0,3.9,5,2
10,0,0,0,0,3.7,5,2
40,0,0,0,0,3.6,5,2
40,0,0,0,0,3.7,5,2
40,0,0,0,0,4.2,1,5
25,0,0,0,0,4.3,1,5
25,0,0,0,0,4.0,1,5
25,0,0,0,0,4.0,1,5
0,0,0,0,0,4.0,1,5
25,0,0,0,0,4.1,1,5
40,0,0,0,0,4.1,1,5
10,0,0,0,0,4.2,1,5
25,0,0,0,0,4.3,1,5
40,0,0,0,0,4.0,1,5
40,0,0,0,0,4.4,1,5
25,0,0,0,0,3.0,2,0
25,0,0,0,0,3.7,5,2
10,0,0,0,0,4.4,1,5
25,0,0,0,0,4.4,1,5
10,0,0,0,0,3.9,5,2
10,0,0,0,0,4.9,0,1
25,0,0,0,0,3.8,5,2
40,0,0,0,0,3.8,5,2
10,0,0,0,0,3.8,5,2
25,0,0,0,0,3.7,5,2
10,0,0,0,0,4.1,1,5
10,0,0,0,0,4.1,1,5
10,0,0,0,0,4.1,1,5
25,0,0,0,0,4.6,0,1
10,0,0,0,0,4.3,1,5
25,0,0,0,0,4.2,1,5
10,0,0,0,0,3.7,5,2
10,0,0,0,0,4.1,1,5
10,0,0,0,0,4.3,1,5
10,0,0,0,0,4.2,1,5
10,0,0,0,0,4.1,1,5
25,0,0,0,0,4.6,0,1
40,0,0,0,0,4.5,0,1
25,0,0,0,0,3.9,5,2
10,0,0,0,0,4.0,1,5
25,0,0,0,0,4.1,1,5
25,0,0,0,0,3.4,2,0
25,0,0,0,0,4.9,0,1
10,0,0,0,0,3.9,5,2
70,0,0,0,0,3.7,5,2
25,0,0,0,0,0.0,4,3
25,0,0,0,0,0.0,4,3
0,0,0,0,0,4.3,1,5
25,0,0,0,0,4.0,1,5
25,0,0,0,0,4.1,1,5
10,0,0,0,0,4.3,1,5
25,0,0,0,0,4.0,1,5
25,0,0,0,0,4.1,1,5
25,0,0,0,0,4.1,1,5
40,0,0,0,0,4.2,1,5
25,0,0,0,0,4.2,1,5
25,0,0,0,0,4.5,0,1
25,0,0,0,0,4.9,0,1
40,0,0,0,0,4.5,0,1
25,0,0,0,0,4.1,1,5
25,0,0,0,0,4.0,1,5
25,0,0,0,0,3.2,2,0
40,0,0,0,0,4.5,0,1
25,0,0,0,0,4.6,0,1
10,0,0,0,0,4.4,1,5
40,0,0,0,0,4.2,1,5
40,0,0,0,0,4.3,1,5
25,0,0,0,0,4.8,0,1
10,0,0,0,0,4.2,1,5
70,0,0,0,0,4.1,1,5
10,0,0,0,0,4.1,1,5
10,0,0,0,0,4.0,1,5
25,0,0,0,0,4.3,1,5
25,0,0,0,0,3.8,5,2
25,0,0,0,0,4.0,1,5
40,0,0,0,0,4.2,1,5
7,0,0,0,0,3.6,5,2
10,0,0,0,0,3.4,2,0
25,0,0,0,0,3.3,2,0
10,0,0,0,0,3.4,2,0
25,0,0,0,0,3.3,2,0
25,0,0,0,0,3.4,2,0
25,0,0,0,0,3.5,5,2
10,0,0,0,0,3.6,5,2
0,0,0,0,0,3.5,5,2
25,0,0,0,0,3.6,5,2
40,0,0,0,0,3.7,5,2
25,0,0,0,0,3.6,5,2
40,0,0,0,0,3.8,5,2
10,0,0,0,0,3.5,5,2
10,0,0,0,0,3.5,5,2
25,0,0,0,0,3.6,5,2
40,0,0,0,0,3.6,5,2
25,0,0,0,0,3.6,5,2
10,0,0,0,0,3.5,5,2
25,0,0,0,0,3.7,5,2
70,0,0,0,0,3.6,5,2
20,0,0,0,0,4.1,1,5
10,0,0,0,0,3.7,5,2
30,0,0,0,0,3.5,5,2
20,0,0,0,0,3.7,5,2
25,0,0,0,0,4.4,1,5
10,0,0,0,0,4.1,1,5
25,0,0,0,0,3.8,5,2
10,0,0,0,0,3.9,5,2
10,0,0,0,0,4.4,1,5
25,0,0,0,0,4.1,1,5
25,0,0,0,0,3.8,5,2
40,0,0,0,0,4.3,1,5
10,0,0,0,0,4.1,1,5
25,0,0,0,0,4.9,0,1
10,0,0,0,0,4.6,0,1
25,0,0,0,0,3.8,5,2
25,0,0,0,0,4.2,1,5
10,0,0,0,0,4.3,1,5
25,0,0,0,0,4.2,1,5
40,0,0,0,0,3.8,5,2
10,0,0,0,0,3.9,5,2
25,0,0,0,0,2.2,3,4
10,0,0,0,0,4.0,1,5
20,0,0,0,0,3.8,5,2
7,0,0,0,0,3.8,5,2
20,0,0,0,0,4.1,1,5
7,0,0,0,0,3.7,5,2
7,0,0,0,0,3.8,5,2
10,0,0,0,0,3.6,5,2
25,0,0,0,0,4.5,0,1
20,0,0,0,0,3.6,5,2
20,0,0,0,0,3.5,5,2
25,0,0,0,0,3.9,5,2
10,0,0,0,0,4.9,0,1
25,0,0,0,0,4.6,0,1
25,0,0,0,0,4.5,0,1
25,0,0,0,0,4.5,0,1
40,0,0,0,0,4.1,1,5
70,0,0,0,0,4.0,1,5
10,0,0,0,0,4.3,1,5
70,0,0,0,0,4.2,1,5
10,0,0,0,0,4.2,1,5
25,0,0,0,0,3.7,5,2
25,0,0,0,0,3.7,5,2
10,0,0,0,0,3.7,5,2
25,0,0,0,0,3.8,5,2
10,0,0,0,0,4.1,1,5
25,0,0,0,0,4.0,1,5
25,0,0,0,0,4.2,1,5
10,0,0,0,0,4.0,1,5
40,0,0,0,0,4.1,1,5
20,0,0,0,0,2.9,2,0
10,0,0,0,0,2.4,3,4
30,0,0,0,0,3.8,5,2
25,0,0,0,0,3.6,5,2
30,0,0,0,0,2.4,3,4
40,0,0,0,0,3.6,5,2
40,0,0,0,0,4.4,1,5
45,0,0,0,0,4.5,0,1
35,0,0,0,0,4.7,0,1
50,0,0,0,0,4.3,1,5
40,0,0,0,0,4.6,0,1
100,0,0,0,0,4.6,0,1
45,0,0,0,0,4.3,1,5
50,0,0,0,0,4.4,1,5
35,0,0,0,0,4.6,0,1
10,0,0,0,0,4.4,1,5
60,0,0,0,0,4.4,1,5
40,0,0,0,0,4.8,0,1
25,0,0,0,0,4.9,0,1
35,0,0,0,0,4.9,0,1
25,0,0,0,0,4.7,0,1
25,0,0,0,0,3.6,5,2
40,0,0,0,0,4.2,1,5
25,0,0,0,0,4.4,1,5
40,0,0,0,0,4.4,1,5
30,0,0,0,0,4.4,1,5
120,0,0,0,0,2.6,2,0
20,0,0,0,0,3.4,2,0
25,0,0,0,0,4.2,1,5
40,0,0,0,0,4.9,0,1
10,0,0,0,0,4.6,0,1
10,0,0,0,0,4.5,0,1
40,0,0,0,0,3.7,5,2
25,0,0,0,0,3.9,5,2
25,0,0,0,0,3.7,5,2
25,0,0,0,0,4.2,1,5
40,0,0,0,0,4.1,1,5
40,0,0,0,0,4.4,1,5
25,0,0,0,0,4.3,1,5
40,0,0,0,0,4.0,1,5
25,0,0,0,0,4.1,1,5
40,0,0,0,0,3.9,5,2
40,0,0,0,0,3.5,5,2
25,0,0,0,0,4.2,1,5
40,0,0,0,0,4.4,1,5
40,0,0,0,0,4.3,1,5
10,0,0,0,0,4.7,0,1
40,0,0,0,0,4.4,1,5
20,0,0,0,0,3.7,5,2
10,0,0,0,0,3.7,5,2
45,0,0,0,0,3.5,5,2
10,0,0,0,0,3.6,5,2
0,0,0,0,0,3.6,5,2
40,0,0,0,0,3.7,5,2
30,0,0,0,0,3.6,5,2
10,0,0,0,0,3.5,5,2
10,0,0,0,0,3.8,5,2
10,0,0,0,0,3.8,5,2
25,0,0,0,0,3.7,5,2
10,0,0,0,0,3.5,5,2
25,0,0,0,0,3.7,5,2
40,0,0,0,0,3.6,5,2
0,0,0,0,0,3.6,5,2
25,0,0,0,0,3.6,5,2
25,0,0,0,0,3.8,5,2
25,0,0,0,0,3.7,5,2
40,0,0,0,0,3.6,5,2
25,0,0,0,0,0.0,4,3
10,0,0,0,0,4.1,1,5
25,0,0,0,0,3.3,2,0
70,0,0,0,0,4.0,1,5
25,0,0,0,0,4.5,0,1
35,0,0,0,0,4.7,0,1
30,0,0,0,0,4.5,0,1
10,0,0,0,0,4.5,0,1
40,0,0,0,0,4.2,1,5
40,0,0,0,0,4.2,1,5
10,0,0,0,0,4.6,0,1
10,0,0,0,0,4.2,1,5
25,0,0,0,0,4.4,1,5
40,0,0,0,0,4.3,1,5
40,0,0,0,0,4.3,1,5
70,0,0,0,0,4.9,0,1
10,0,0,0,0,4.9,0,1
40,0,0,0,0,4.6,0,1
25,0,0,0,0,3.9,5,2
70,0,0,0,0,4.4,1,5
10,0,0,0,0,4.0,1,5
70,0,0,0,0,4.2,1,5
25,0,0,0,0,4.2,1,5
40,0,0,0,0,3.3,2,0
40,0,0,0,0,4.7,0,1
10,0,0,0,0,4.6,0,1
40,0,0,0,0,4.5,0,1
25,0,0,0,0,4.5,0,1
25,0,0,0,0,3.7,5,2
40,0,0,0,0,3.8,5,2
25,0,0,0,0,4.1,1,5
25,0,0,0,0,4.4,1,5
10,0,0,0,0,4.2,1,5
10,0,0,0,0,4.1,1,5
40,0,0,0,0,4.1,1,5
25,0,0,0,0,4.3,1,5
10,0,0,0,0,4.3,1,5
70,0,0,0,0,4.0,1,5
25,0,0,0,0,4.3,1,5
70,0,0,0,0,4.4,1,5
70,0,0,0,0,4.1,1,5
40,0,0,0,0,3.8,5,2
300,0,0,0,0,3.4,2,0
270,0,0,0,0,4.0,1,5
500,0,0,0,0,3.8,5,2
80,0,0,0,0,3.1,2,0
430,0,0,0,0,3.8,5,2
315,0,0,0,0,3.9,5,2
20,0,0,0,0,4.2,1,5
100,0,0,0,0,4.1,1,5
50,0,0,0,0,3.2,2,0
80,0,0,0,0,3.2,2,0
40,0,0,0,0,3.7,5,2
30,0,0,0,0,3.0,2,0
220,0,0,0,0,3.8,5,2
300,0,0,0,0,3.9,5,2
60,0,0,0,0,3.1,2,0
60,0,0,0,0,3.2,2,0
95,0,0,0,0,3.2,2,0
50,0,0,0,0,3.8,5,2
40,0,0,0,0,3.9,5,2
75,0,0,0,0,3.2,2,0
40,0,0,0,0,3.7,5,2
10,0,0,0,0,3.6,5,2
10,0,0,0,0,3.8,5,2
10,0,0,0,0,3.6,5,2
40,0,0,0,0,3.7,5,2
25,0,0,0,0,3.6,5,2
25,0,0,0,0,3.8,5,2
25,0,0,0,0,3.8,5,2
10,0,0,0,0,3.7,5,2
10,0,0,0,0,3.9,5,2
10,0,0,0,0,3.7,5,2
10,0,0,0,0,3.8,5,2
40,0,0,0,0,3.7,5,2
10,0,0,0,0,3.7,5,2
25,0,0,0,0,3.8,5,2
40,0,0,0,0,3.9,5,2
10,0,0,0,0,4.0,1,5
40,0,0,0,0,4.0,1,5
25,0,0,0,0,4.0,1,5
70,0,0,0,0,3.5,5,2
25,0,0,0,0,4.6,0,1
25,0,0,0,0,4.6,0,1
25,0,0,0,0,4.1,1,5
25,0,0,0,0,4.1,1,5
25,0,0,0,0,4.1,1,5
70,0,0,0,0,4.7,0,1
40,0,0,0,0,3.9,5,2
70,0,0,0,0,3.9,5,2
25,0,0,0,0,4.4,1,5
25,0,0,0,0,4.4,1,5
40,0,0,0,0,4.2,1,5
10,0,0,0,0,4.9,0,1
40,0,0,0,0,4.5,0,1
40,0,0,0,0,4.9,0,1
40,0,0,0,0,4.5,0,1
40,0,0,0,0,4.7,0,1
40,0,0,0,0,4.8,0,1
10,0,0,0,0,4.5,0,1
40,0,0,0,0,4.0,1,5
40,0,0,0,0,4.4,1,5
30,0,0,0,0,4.4,1,5
20,0,0,0,0,4.1,1,5
25,0,0,0,0,3.4,2,0
25,0,0,0,0,3.1,2,0
40,0,0,0,0,3.9,5,2
40,0,0,0,0,3.7,5,2
35,0,0,0,0,3.8,5,2
25,0,0,0,0,3.7,5,2
10,0,0,0,0,3.8,5,2
40,0,0,0,0,3.7,5,2
25,0,0,0,0,3.7,5,2
10,0,0,0,0,3.7,5,2
25,0,0,0,0,3.9,5,2
40,0,0,0,0,3.8,5,2
10,0,0,0,0,3.5,5,2
25,0,0,0,0,3.9,5,2
25,0,0,0,0,3.7,5,2
70,0,0,0,0,3.5,5,2
25,0,0,0,0,3.8,5,2
25,0,0,0,0,3.8,5,2
40,0,0,0,0,3.8,5,2
25,0,0,0,0,4.1,1,5
10,0,0,0,0,4.3,1,5
20,0,0,0,0,3.6,5,2
70,0,0,0,0,4.3,1,5
10,0,0,0,0,3.2,2,0
25,0,0,0,0,3.7,5,2
10,0,0,0,0,3.9,5,2
10,0,0,0,0,3.8,5,2
25,0,0,0,0,3.7,5,2
10,0,0,0,0,3.6,5,2
40,0,0,0,0,3.6,5,2
25,0,0,0,0,3.6,5,2
40,0,0,0,0,3.8,5,2
10,0,0,0,0,3.7,5,2
25,0,0,0,0,3.6,5,2
25,0,0,0,0,3.6,5,2
25,0,0,0,0,3.6,5,2
25,0,0,0,0,3.6,5,2
40,0,0,0,0,3.6,5,2
10,0,0,0,0,3.7,5,2
25,0,0,0,0,3.6,5,2
10,0,0,0,0,3.7,5,2
10,0,0,0,0,3.5,5,2
25,0,0,0,0,3.9,5,2
25,0,0,0,0,3.9,5,2
25,0,0,0,0,3.2,2,0
25,0,0,0,0,3.3,2,0
190,0,0,0,0,4.6,0,1
260,0,1,0,0,4.6,0,1
150,1,1,0,0,4.4,1,5
70,0,0,0,0,4.3,1,5
100,0,0,0,0,4.2,1,5
180,0,0,0,0,4.6,0,1
230,0,0,0,0,4.1,1,5
350,1,1,0,0,4.4,1,5
120,1,1,0,0,4.0,1,5
60,0,1,0,0,3.6,5,2
100,0,1,0,0,4.5,0,1
250,0,1,0,0,4.0,1,5
50,0,1,0,0,4.0,1,5
70,0,1,0,0,4.0,1,5
80,1,1,0,0,4.3,1,5
100,0,1,0,0,4.0,1,5
330,1,0,0,0,4.9,0,1
500,1,0,0,0,4.7,0,1
250,0,0,0,0,4.2,1,5
200,0,0,0,0,4.6,0,1
280,1,0,0,0,3.9,5,2
90,1,1,0,0,4.1,1,5
90,1,1,0,0,4.3,1,5
150,1,0,0,0,4.5,0,1
200,1,0,0,0,4.5,0,1
160,1,0,0,0,4.9,0,1
500,1,0,0,0,4.9,0,1
160,1,0,0,0,4.8,0,1
300,0,0,0,0,4.5,0,1
140,0,1,0,0,4.5,0,1
100,0,0,0,0,4.3,1,5
160,0,0,0,0,4.3,1,5
150,1,0,0,0,4.4,1,5
500,1,0,0,0,4.9,0,1
150,1,1,0,0,4.4,1,5
285,0,0,0,0,3.2,2,0
270,0,0,0,0,4.7,0,1
170,0,0,0,0,4.3,1,5
250,0,1,0,0,3.7,5,2
130,1,1,0,0,4.3,1,5
85,0,1,0,0,3.9,5,2
70,0,1,0,0,3.8,5,2
120,0,1,0,0,4.1,1,5
65,0,0,0,0,4.3,1,5
110,0,1,0,0,3.9,5,2
40,0,0,0,0,4.1,1,5
100,0,1,0,0,4.1,1,5
80,0,1,0,0,4.2,1,5
90,0,1,0,0,4.1,1,5
80,0,0,0,0,2.4,3,4
50,0,0,0,0,4.2,1,5
60,0,0,0,0,4.2,1,5
160,0,1,0,0,4.2,1,5
130,0,1,0,0,3.8,5,2
250,0,1,0,0,3.9,5,2
60,0,0,0,0,4.8,0,1
250,0,1,0,0,4.1,1,5
150,0,0,0,0,4.5,0,1
50,0,0,0,0,3.8,5,2
110,0,0,0,0,4.2,1,5
850,0,0,0,0,3.9,5,2
700,0,0,0,0,3.5,5,2
500,0,0,0,0,3.6,5,2
400,0,0,0,0,4.0,1,5
1000,0,0,0,0,4.2,1,5
2000,0,0,0,0,4.0,1,5
2500,0,0,0,0,4.3,1,5
2500,0,0,0,0,4.0,1,5
800,0,0,0,0,3.6,5,2
3600,0,0,0,0,3.8,5,2
0,0,0,0,0,3.9,5,2
550,0,0,0,0,4.1,1,5
1100,0,0,0,0,3.4,2,0
0,0,0,0,0,4.9,0,1
1500,0,0,0,0,3.8,5,2
0,0,0,0,0,3.9,5,2
900,0,0,0,0,3.7,5,2
700,0,0,0,0,4.4,1,5
1000,0,0,0,0,4.2,1,5
700,0,0,0,0,4.1,1,5
900,0,0,0,0,4.2,1,5
1800,0,0,0,0,3.7,5,2
300,0,1,0,0,4.5,0,1
800,0,0,0,0,4.1,1,5
900,0,1,0,0,4.3,1,5
500,0,1,0,0,4.4,1,5
1000,0,1,0,0,4.4,1,5
1000,0,1,0,0,3.8,5,2
1400,0,0,0,0,3.6,5,2
350,0,0,0,0,4.6,0,1
450,0,0,0,0,4.4,1,5
900,0,0,0,0,4.3,1,5
600,0,1,0,0,3.8,5,2
700,0,1,0,0,4.3,1,5
700,0,1,0,0,4.0,1,5
600,0,1,0,0,4.4,1,5
950,0,1,0,0,4.5,0,1
1200,0,0,0,0,4.1,1,5
1200,0,0,0,0,4.1,1,5
550,0,1,0,0,3.9,5,2
1200,0,0,0,0,4.0,1,5
500,0,0,0,0,3.4,2,0
350,0,0,0,0,3.3,2,0
500,0,0,0,0,3.2,2,0
600,0,0,0,0,3.4,2,0
600,0,0,0,0,3.4,2,0
600,0,0,0,0,3.4,2,0
500,0,0,0,0,3.4,2,0
400,0,0,0,0,3.3,2,0
800,0,0,0,0,3.2,2,0
700,0,0,0,0,3.4,2,0
400,0,0,0,0,3.4,2,0
500,0,0,0,0,3.2,2,0
0,0,0,0,0,3.3,2,0
500,0,0,0,0,3.4,2,0
1000,0,0,0,0,3.6,5,2
200,0,0,0,0,3.7,5,2
500,0,0,0,0,3.5,5,2
500,0,0,0,0,3.6,5,2
400,0,0,0,0,3.5,5,2
800,0,0,0,0,3.3,2,0
700,0,0,0,0,3.4,2,0
300,0,0,0,0,3.9,5,2
100,0,0,0,0,4.0,1,5
800,0,0,0,0,3.4,2,0
150,0,0,0,0,3.6,5,2
300,0,0,0,0,3.5,5,2
500,0,0,0,0,3.4,2,0
1200,0,0,0,0,3.4,2,0
400,0,0,0,0,3.5,5,2
700,0,0,0,0,3.6,5,2
200,0,0,0,0,3.9,5,2
600,0,0,0,0,3.4,2,0
500,0,0,0,0,3.7,5,2
500,0,0,0,0,3.5,5,2
500,0,0,0,0,3.8,5,2
400,0,0,0,0,3.8,5,2
100,0,0,0,0,4.1,1,5
500,0,0,0,0,4.1,1,5
500,0,0,0,0,3.8,5,2
1000,0,0,0,0,3.5,5,2
150,0,0,0,0,4.1,1,5
800,0,0,0,0,3.6,5,2
850,0,0,0,0,3.3,2,0
600,0,0,0,0,3.3,2,0
700,0,0,0,0,3.1,2,0
350,0,0,0,0,3.4,2,0
450,0,0,0,0,3.4,2,0
1800,0,0,0,0,3.4,2,0
500,0,0,0,0,3.3,2,0
500,0,0,0,0,3.4,2,0
1000,0,0,0,0,3.6,5,2
300,0,0,0,0,3.5,5,2
400,0,0,0,0,3.3,2,0
700,0,0,0,0,3.3,2,0
450,0,0,0,0,3.4,2,0
450,0,0,0,0,3.7,5,2
400,0,0,0,0,3.2,2,0
650,0,0,0,0,3.4,2,0
600,0,0,0,0,3.3,2,0
450,0,0,0,0,3.3,2,0
500,0,0,0,0,3.3,2,0
1300,1,1,0,0,4.1,1,5
2400,1,1,0,0,4.7,0,1
2000,0,0,0,0,4.8,0,1
1300,1,0,0,0,3.9,5,2
1500,0,1,0,0,4.2,1,5
800,0,0,0,0,4.0,1,5
600,0,1,0,0,4.3,1,5
600,0,0,0,0,4.6,0,1
950,0,0,0,0,4.7,0,1
800,0,1,0,0,4.7,0,1
1400,1,0,0,0,4.1,1,5
400,0,1,0,0,4.3,1,5
1500,0,0,0,0,4.5,0,1
1400,0,0,0,0,4.6,0,1
1200,1,0,0,0,4.4,1,5
600,0,0,0,0,4.6,0,1
1200,0,0,0,0,4.2,1,5
1800,1,1,0,0,4.5,0,1
1400,0,0,0,0,3.9,5,2
1500,0,0,0,0,4.4,1,5
200,0,0,0,0,3.3,2,0
600,0,0,0,0,3.4,2,0
250,0,0,0,0,4.9,0,1
700,0,0,0,0,3.9,5,2
500,0,0,0,0,4.2,1,5
1000,0,0,0,0,4.0,1,5
1000,0,0,0,0,4.0,1,5
650,0,0,0,0,4.1,1,5
600,0,0,0,0,3.8,5,2
500,0,0,0,0,3.8,5,2
550,0,0,0,0,3.5,5,2
500,0,0,0,0,3.6,5,2
350,0,0,0,0,3.6,5,2
500,0,0,0,0,4.1,1,5
400,0,0,0,0,4.4,1,5
400,0,0,0,0,4.1,1,5
1800,0,0,0,0,4.3,1,5
500,0,0,0,0,3.9,5,2
900,0,0,0,0,3.8,5,2
500,0,0,0,0,4.3,1,5
500,0,0,0,0,3.9,5,2
550,0,0,0,0,4.1,1,5
1200,0,0,0,0,4.6,0,1
600,0,0,0,0,4.5,0,1
500,0,0,0,0,3.9,5,2
500,0,0,0,0,4.0,1,5
850,0,0,0,0,3.7,5,2
1400,0,0,0,0,4.1,1,5
450,0,0,0,0,3.6,5,2
600,0,0,0,0,3.8,5,2
450,0,0,0,0,3.7,5,2
